ID : 71, AGE : 0, X = 21851, Y : -1120834592, V : 4.63693e-310, O : -40.8407, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 72, AGE : 0, X = 21851, Y : -1120834592, V : 4.63693e-310, O : -40.8407, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 74, AGE : 0, X = 21851, Y : -1120834560, V : 4.63693e-310, O : -40.8407, BHV : Grégaire CAM : 0.536742, PMR: 0.05
ID : 75, AGE : 0, X = 21851, Y : -1120834560, V : 4.63693e-310, O : -40.8407, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 77, AGE : 0, X = 21851, Y : -1120834560, V : 4.63693e-310, O : -40.8407, BHV : Grégaire CAM : 0.477961, PMR: 0.05
ID : 78, AGE : 0, X = 21851, Y : -1120834560, V : 4.63693e-310, O : -40.8407, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 80, AGE : 0, X = 21851, Y : -1120834560, V : 4.63693e-310, O : -40.8407, BHV : Grégaire CAM : 0.923692, PMR: 0.05
ID : 81, AGE : 0, X = 21851, Y : -1120834560, V : 4.63693e-310, O : -40.8407, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 83, AGE : 0, X = 21851, Y : -1120834528, V : 4.63693e-310, O : -40.8407, BHV : Grégaire CAM : 0.865679, PMR: 0.05
ID : 85, AGE : 0, X = 21851, Y : -1120834528, V : 4.63693e-310, O : -40.8407, BHV : Grégaire CAM : 0.227552, PMR: 0.05
ID : 87, AGE : 0, X = 21851, Y : -1120834528, V : 4.63693e-310, O : -40.8407, BHV : Grégaire CAM : 0.393746, PMR: 0.05
ID : 88, AGE : 0, X = 21851, Y : -1120834528, V : 4.63693e-310, O : -40.8407, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 89, AGE : 0, X = 21851, Y : -1120834528, V : 4.63693e-310, O : -40.8407, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 90, AGE : 0, X = 21851, Y : -1120834528, V : 4.63693e-310, O : -40.8407, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 91, AGE : 0, X = 21851, Y : 0, V : 0, O : 3.14159, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 92, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 93, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 95, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0.269022, PMR: 0.05
ID : 96, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 97, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 99, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0.292886, PMR: 0.05
ID : 101, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0.244858, PMR: 0.05
ID : 103, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0.578613, PMR: 0.05
ID : 104, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 106, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0.692463, PMR: 0.05
ID : 107, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 109, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0.0382648, PMR: 0.05
ID : 111, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0.461949, PMR: 0.05
ID : 113, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0.927866, PMR: 0.05
ID : 114, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 115, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 116, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 118, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0.105576, PMR: 0.05
ID : 119, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 120, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 122, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0.880009, PMR: 0.05
ID : 123, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 124, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 126, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0.12608, PMR: 0.05
ID : 127, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 128, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 130, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0.837986, PMR: 0.05
ID : 131, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 132, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 134, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0.359247, PMR: 0.05
ID : 135, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 136, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 138, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0.778391, PMR: 0.05
ID : 139, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 140, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 142, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0.287189, PMR: 0.05
ID : 143, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 145, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0.801024, PMR: 0.05
ID : 147, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0.639199, PMR: 0.05
ID : 149, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0.452681, PMR: 0.05
ID : 151, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0.360164, PMR: 0.05
ID : 152, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
