ID : 69, AGE : 0, X = 21953, Y : -1280910368, V : 4.65857e-310, O : -257.611, BHV : Kamikaze CAM : 0.436585, PMR: 0.05
ID : 71, AGE : 0, X = 21953, Y : -1280910368, V : 4.65857e-310, O : -257.611, BHV : Kamikaze CAM : 0.523548, PMR: 0.05
ID : 72, AGE : 0, X = 21953, Y : -1280910368, V : 4.65857e-310, O : -257.611, BHV : Prévoyante CAM : 0, PMR: 0.05
ID : 74, AGE : 0, X = 21953, Y : -1280910336, V : 4.65857e-310, O : -257.611, BHV : Prévoyante CAM : 0.589119, PMR: 0.05
ID : 75, AGE : 0, X = 21953, Y : -1280910336, V : 4.65857e-310, O : -257.611, BHV : Prévoyante CAM : 0, PMR: 0.05
ID : 77, AGE : 0, X = 21953, Y : -1280910336, V : 4.65857e-310, O : -257.611, BHV : Multiple CAM : 0.522629, PMR: 0.05
ID : 78, AGE : 0, X = 21953, Y : -1280910336, V : 4.65857e-310, O : -257.611, BHV : Multiple CAM : 0, PMR: 0.05
ID : 79, AGE : 0, X = 21953, Y : -1280910336, V : 4.65857e-310, O : -257.611, BHV : Prévoyante CAM : 0, PMR: 0.05
ID : 81, AGE : 0, X = 21953, Y : -1280910336, V : 4.65857e-310, O : -257.611, BHV : Grégaire CAM : 0.292886, PMR: 0.05
ID : 82, AGE : 0, X = 21953, Y : -1280910304, V : 4.65857e-310, O : -257.611, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 83, AGE : 0, X = 21953, Y : -1280910304, V : 4.65857e-310, O : -257.611, BHV : Kamikaze CAM : 0, PMR: 0.05
ID : 85, AGE : 0, X = 21953, Y : -1280910304, V : 4.65857e-310, O : -257.611, BHV : Grégaire CAM : 0.937714, PMR: 0.05
ID : 87, AGE : 0, X = 21953, Y : -1280910304, V : 4.65857e-310, O : -257.611, BHV : Kamikaze CAM : 0.081265, PMR: 0.05
ID : 88, AGE : 0, X = 21953, Y : -1280910304, V : 4.65857e-310, O : -257.611, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 90, AGE : 0, X = 21953, Y : -1280910304, V : 4.65857e-310, O : -257.611, BHV : Multiple CAM : 0.461949, PMR: 0.05
ID : 92, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0.387996, PMR: 0.05
ID : 94, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Peureuse CAM : 0.0974906, PMR: 0.05
ID : 95, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Peureuse CAM : 0, PMR: 0.05
ID : 96, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Multiple CAM : 0, PMR: 0.05
ID : 97, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Kamikaze CAM : 0, PMR: 0.05
ID : 98, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Peureuse CAM : 0, PMR: 0.05
ID : 100, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Multiple CAM : 0.443043, PMR: 0.05
ID : 102, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Prévoyante CAM : 0.272189, PMR: 0.05
ID : 103, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Prévoyante CAM : 0, PMR: 0.05
ID : 104, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Kamikaze CAM : 0, PMR: 0.05
ID : 105, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Prévoyante CAM : 0, PMR: 0.05
ID : 107, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Prévoyante CAM : 0.347196, PMR: 0.05
ID : 109, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Prévoyante CAM : 0.653087, PMR: 0.05
ID : 111, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Peureuse CAM : 0.180136, PMR: 0.05
