ID : 68, AGE : 0, X = 137, Y : 26, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 70, AGE : 0, X = 417, Y : 36, V : 0, O : 0, BHV : Grégaire CAM : 0.92522, PMR: 0.05
ID : 72, AGE : 0, X = 593, Y : 204, V : 0, O : 0, BHV : Grégaire CAM : 0.264172, PMR: 0.05
ID : 74, AGE : 0, X = 327, Y : 386, V : 0, O : 0, BHV : Grégaire CAM : 0.269022, PMR: 0.05
ID : 75, AGE : 0, X = 491, Y : 102, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 76, AGE : 0, X = 243, Y : 152, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 78, AGE : 0, X = 364, Y : 282, V : 0, O : 0, BHV : Grégaire CAM : 0.190984, PMR: 0.05
ID : 80, AGE : 0, X = 542, Y : 243, V : 0, O : 0, BHV : Grégaire CAM : 0.757282, PMR: 0.05
ID : 82, AGE : 0, X = 347, Y : 451, V : 0, O : 0, BHV : Grégaire CAM : 0.809743, PMR: 0.05
ID : 84, AGE : 0, X = 597, Y : 240, V : 0, O : 0, BHV : Grégaire CAM : 0.434398, PMR: 0.05
ID : 86, AGE : 0, X = 39, Y : 26, V : 0, O : 0, BHV : Grégaire CAM : 0.668326, PMR: 0.05
ID : 88, AGE : 0, X = 298, Y : 389, V : 0, O : 0, BHV : Grégaire CAM : 0.433758, PMR: 0.05
ID : 90, AGE : 0, X = 419, Y : 110, V : 0, O : 0, BHV : Grégaire CAM : 0.527075, PMR: 0.05
ID : 91, AGE : 0, X = 113, Y : 302, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 92, AGE : 0, X = 432, Y : 414, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 94, AGE : 0, X = 474, Y : 17, V : 0, O : 0, BHV : Grégaire CAM : 0.77741, PMR: 0.05
ID : 96, AGE : 0, X = 606, Y : 125, V : 0, O : 0, BHV : Grégaire CAM : 0.657643, PMR: 0.05
ID : 97, AGE : 0, X = 279, Y : 245, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 98, AGE : 0, X = 195, Y : 328, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 99, AGE : 0, X = 137, Y : 147, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 101, AGE : 0, X = 73, Y : 417, V : 0, O : 0, BHV : Grégaire CAM : 0.471639, PMR: 0.05
ID : 103, AGE : 0, X = 57, Y : 161, V : 0, O : 0, BHV : Grégaire CAM : 0.293171, PMR: 0.05
ID : 105, AGE : 0, X = 628, Y : 233, V : 0, O : 0, BHV : Grégaire CAM : 0.861265, PMR: 0.05
ID : 107, AGE : 0, X = 527, Y : 462, V : 0, O : 0, BHV : Grégaire CAM : 0.673648, PMR: 0.05
ID : 108, AGE : 0, X = 241, Y : 362, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 109, AGE : 0, X = 533, Y : 135, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 111, AGE : 0, X = 231, Y : 80, V : 0, O : 0, BHV : Grégaire CAM : 0.10339, PMR: 0.05
ID : 112, AGE : 0, X = 481, Y : 443, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
